year,district,number_planted_trees,number_unique_species,Formede træer,Gade- og allétræer,Park- og naturtræer,Private træer,Træer i bevoksninger,Gennemsnit for alle personer med indkomsten (kr.),avg_study_year
2008.0,Amager Vest,60,5,0.0,59.0,0.0,1.0,0.0,209245.0,13.152245383324006
2008.0,Amager Øst,6,2,0.0,1.0,5.0,0.0,0.0,202575.0,13.077910562837317
2008.0,Bispebjerg,17,2,0.0,17.0,0.0,0.0,0.0,190239.0,12.846948445792266
2008.0,Brønshøj-Husum,101,2,0.0,101.0,0.0,0.0,0.0,203281.0,12.729431474669482
2008.0,Indre By,33,4,5.0,28.0,0.0,0.0,0.0,258185.0,14.252448652901755
2008.0,Nørrebro,96,17,0.0,71.0,25.0,0.0,0.0,185012.0,13.467639638376902
2008.0,Valby,79,9,0.0,78.0,0.0,1.0,0.0,207084.0,12.984424850629386
2008.0,Vanløse,59,4,0.0,59.0,0.0,0.0,0.0,222457.0,13.46886229763272
2008.0,Vesterbro-Kongens Enghave,46,8,0.0,46.0,0.0,0.0,0.0,201373.0,13.492548104956269
2008.0,Østerbro,17,7,0.0,17.0,0.0,0.0,0.0,231624.0,14.033938607868569
2009.0,Amager Vest,150,10,0.0,139.0,11.0,0.0,0.0,213288.0,13.259546417104994
2009.0,Amager Øst,91,8,0.0,66.0,15.0,10.0,0.0,205551.0,13.154271394751422
2009.0,Bispebjerg,49,4,0.0,27.0,0.0,22.0,0.0,192450.0,12.92141772960882
2009.0,Brønshøj-Husum,44,5,0.0,33.0,0.0,11.0,0.0,206140.0,12.772094114250658
2009.0,Indre By,56,7,5.0,51.0,0.0,0.0,0.0,252826.0,14.300397667020148
2009.0,Nørrebro,92,15,0.0,79.0,13.0,0.0,0.0,187782.0,13.566019001968673
2009.0,Valby,63,10,1.0,62.0,0.0,0.0,0.0,209909.0,13.052298344737515
2009.0,Vanløse,56,6,0.0,56.0,0.0,0.0,0.0,224518.0,13.50612860987852
2009.0,Vesterbro-Kongens Enghave,54,11,0.0,47.0,1.0,6.0,0.0,207523.0,13.598465933373822
2009.0,Østerbro,98,9,0.0,96.0,2.0,0.0,0.0,233341.0,14.124264339612198
2010.0,Amager Vest,87,8,0.0,77.0,5.0,5.0,0.0,226401.0,13.356501794974072
2010.0,Amager Øst,100,5,0.0,97.0,0.0,3.0,0.0,215314.0,13.233648228713486
2010.0,Bispebjerg,129,3,0.0,16.0,71.0,0.0,42.0,197932.0,12.975093319603552
2010.0,Brønshøj-Husum,49,5,0.0,49.0,0.0,0.0,0.0,218394.0,12.83606266836807
2010.0,Indre By,50,4,0.0,47.0,3.0,0.0,0.0,274034.0,14.359020033044196
2010.0,Nørrebro,149,21,4.0,28.0,117.0,0.0,0.0,192432.0,13.669747998115874
2010.0,Valby,15,6,0.0,15.0,0.0,0.0,0.0,220811.0,13.136862635831708
2010.0,Vanløse,3,1,0.0,3.0,0.0,0.0,0.0,235714.0,13.562740306874124
2010.0,Vesterbro-Kongens Enghave,32,8,1.0,24.0,7.0,0.0,0.0,217571.0,13.708980213089802
2010.0,Østerbro,124,11,2.0,114.0,8.0,0.0,0.0,247640.0,14.197331588322973
2011.0,Amager Vest,197,11,0.0,31.0,128.0,0.0,38.0,230841.0,13.484374322272826
2011.0,Amager Øst,68,9,0.0,38.0,30.0,0.0,0.0,217404.0,13.318223217802284
2011.0,Bispebjerg,60,5,0.0,46.0,14.0,0.0,0.0,197060.0,13.039824455510287
2011.0,Brønshøj-Husum,71,6,0.0,51.0,15.0,2.0,3.0,220309.0,12.90419452045305
2011.0,Indre By,115,10,0.0,47.0,48.0,0.0,20.0,279330.0,14.444999115335035
2011.0,Nørrebro,93,26,0.0,60.0,32.0,0.0,1.0,194413.0,13.798302517411134
2011.0,Valby,74,8,1.0,73.0,0.0,0.0,0.0,224120.0,13.214880347281369
2011.0,Vanløse,84,8,0.0,33.0,51.0,0.0,0.0,237062.0,13.641058951581757
2011.0,Vesterbro-Kongens Enghave,57,10,0.0,39.0,18.0,0.0,0.0,221221.0,13.8057227314293
2011.0,Østerbro,715,15,0.0,18.0,460.0,0.0,237.0,251095.0,14.271491392717326
2012.0,Amager Vest,118,9,0.0,53.0,61.0,4.0,0.0,236431.0,13.593293443558789
2012.0,Amager Øst,85,1,0.0,3.0,67.0,0.0,15.0,220974.0,13.390064575422642
2012.0,Bispebjerg,18,4,0.0,8.0,10.0,0.0,0.0,199794.0,13.151670699811786
2012.0,Brønshøj-Husum,7,4,0.0,6.0,1.0,0.0,0.0,223448.0,12.989579831932772
2012.0,Indre By,307,11,2.0,223.0,48.0,0.0,34.0,281869.0,14.542713130056004
2012.0,Nørrebro,328,18,0.0,60.0,268.0,0.0,0.0,198603.0,13.939446645408575
2012.0,Valby,334,10,0.0,84.0,230.0,11.0,9.0,227957.0,13.280566073202825
2012.0,Vanløse,115,7,0.0,11.0,101.0,0.0,3.0,242139.0,13.711363245659275
2012.0,Vesterbro-Kongens Enghave,237,18,0.0,159.0,75.0,0.0,3.0,227195.0,13.912565720294428
2012.0,Østerbro,757,21,0.0,35.0,402.0,0.0,320.0,257154.0,14.351510406587026
2013.0,Amager Vest,116,7,0.0,45.0,15.0,0.0,56.0,240739.0,13.72279410256936
2013.0,Amager Øst,19,6,0.0,19.0,0.0,0.0,0.0,223053.0,13.48681933480312
2013.0,Bispebjerg,54,4,0.0,1.0,52.0,1.0,0.0,199514.0,13.288249079343823
2013.0,Brønshøj-Husum,17,5,0.0,5.0,9.0,1.0,2.0,223200.0,13.096686262274623
2013.0,Indre By,191,12,1.0,145.0,44.0,0.0,1.0,289404.0,14.647943757528084
2013.0,Nørrebro,61,15,1.0,42.0,18.0,0.0,0.0,199726.0,14.087112341772151
2013.0,Valby,39,8,0.0,16.0,14.0,0.0,9.0,229443.0,13.378883203675665
2013.0,Vanløse,38,11,0.0,8.0,29.0,0.0,1.0,244480.0,13.794655224838676
2013.0,Vesterbro-Kongens Enghave,89,15,0.0,46.0,43.0,0.0,0.0,230258.0,14.047616594192444
2013.0,Østerbro,130,21,1.0,42.0,87.0,0.0,0.0,259440.0,14.4505027874746
2014.0,Amager Vest,99,10,0.0,55.0,44.0,0.0,0.0,244563.0,13.867608608205954
2014.0,Amager Øst,49,8,0.0,45.0,4.0,0.0,0.0,225653.0,13.631100917431192
2014.0,Bispebjerg,247,14,0.0,188.0,57.0,0.0,2.0,200636.0,13.43490366021295
2014.0,Brønshøj-Husum,19,6,0.0,19.0,0.0,0.0,0.0,224470.0,13.211850285201564
2014.0,Indre By,127,18,0.0,64.0,60.0,0.0,3.0,297512.0,14.813845401174168
2014.0,Nørrebro,124,14,2.0,81.0,41.0,0.0,0.0,202996.0,14.25635339340461
2014.0,Valby,83,17,2.0,24.0,38.0,2.0,17.0,232098.0,13.493340889770474
2014.0,Vanløse,50,9,0.0,38.0,12.0,0.0,0.0,247582.0,13.906111409756754
2014.0,Vesterbro-Kongens Enghave,34,6,0.0,31.0,3.0,0.0,0.0,235805.0,14.203707059723733
2014.0,Østerbro,140,16,1.0,74.0,50.0,0.0,15.0,264149.0,14.589103869653767
2015.0,Amager Vest,57,8,0.0,26.0,16.0,0.0,15.0,250868.0,14.026749253965761
2015.0,Amager Øst,35,13,0.0,18.0,17.0,0.0,0.0,231810.0,13.78077535727907
2015.0,Bispebjerg,19,3,0.0,18.0,1.0,0.0,0.0,203523.0,13.592517926278894
2015.0,Brønshøj-Husum,1,1,0.0,0.0,0.0,0.0,1.0,229342.0,13.368722439008915
2015.0,Indre By,54,12,1.0,47.0,6.0,0.0,0.0,302022.0,14.952524554209974
2015.0,Nørrebro,75,16,0.0,61.0,14.0,0.0,0.0,209144.0,14.423163667258825
2015.0,Valby,156,18,2.0,48.0,44.0,0.0,62.0,239248.0,13.635863267670915
2015.0,Vanløse,25,6,0.0,25.0,0.0,0.0,0.0,252004.0,14.014095420224868
2015.0,Vesterbro-Kongens Enghave,87,13,0.0,80.0,5.0,2.0,0.0,240986.0,14.374524262607041
2015.0,Østerbro,170,20,0.0,40.0,36.0,0.0,94.0,275129.0,14.725404605095216
2016.0,Amager Vest,88,11,0.0,40.0,10.0,35.0,3.0,259349.0,14.202829378185914
2016.0,Amager Øst,32,7,0.0,13.0,18.0,0.0,1.0,241169.0,13.955297243440718
2016.0,Bispebjerg,284,11,0.0,55.0,218.0,0.0,11.0,208700.0,13.77436024174886
2016.0,Brønshøj-Husum,142,12,0.0,43.0,90.0,0.0,9.0,233686.0,13.490060392551586
2016.0,Indre By,121,12,60.0,49.0,12.0,0.0,0.0,313586.0,15.121072110236954
2016.0,Nørrebro,222,20,0.0,153.0,69.0,0.0,0.0,215768.0,14.628774108078131
2016.0,Valby,171,15,3.0,111.0,50.0,6.0,1.0,243206.0,13.805259694362524
2016.0,Vanløse,51,7,0.0,14.0,35.0,0.0,2.0,258804.0,14.143777806856844
2016.0,Vesterbro-Kongens Enghave,158,18,0.0,155.0,1.0,1.0,1.0,249427.0,14.561743341404359
2016.0,Østerbro,420,25,2.0,313.0,88.0,10.0,7.0,281654.0,14.904119875185636
2017.0,Amager Vest,24,7,0.0,19.0,2.0,0.0,3.0,265295.0,14.298861618990099
2017.0,Amager Øst,6,2,0.0,6.0,0.0,0.0,0.0,249198.0,14.069444444444445
2017.0,Bispebjerg,24,2,0.0,23.0,1.0,0.0,0.0,213437.0,13.876092966800782
2017.0,Brønshøj-Husum,5,3,0.0,5.0,0.0,0.0,0.0,238589.0,13.554914838790774
2017.0,Indre By,53,16,3.0,40.0,10.0,0.0,0.0,327174.0,15.188111936671065
2017.0,Nørrebro,78,15,0.0,60.0,18.0,0.0,0.0,222144.0,14.710241701086126
2017.0,Valby,87,14,0.0,41.0,22.0,0.0,24.0,247949.0,13.924091469778917
2017.0,Vanløse,19,4,0.0,19.0,0.0,0.0,0.0,264995.0,14.241385510657775
2017.0,Vesterbro-Kongens Enghave,86,13,0.0,79.0,5.0,0.0,2.0,258938.0,14.666576949492324
2017.0,Østerbro,117,19,0.0,56.0,32.0,0.0,29.0,289320.0,14.986812395693576
2018.0,Amager Vest,80,10,0.0,71.0,9.0,0.0,0.0,268517.0,14.352852535293184
2018.0,Amager Øst,100,10,0.0,97.0,3.0,0.0,0.0,252272.0,14.194676040036864
2018.0,Bispebjerg,54,6,0.0,10.0,44.0,0.0,0.0,217176.0,13.999652793333633
2018.0,Brønshøj-Husum,8,3,0.0,1.0,7.0,0.0,0.0,240617.0,13.616047371389184
2018.0,Indre By,190,16,0.0,179.0,11.0,0.0,0.0,331614.0,15.217007424328955
2018.0,Nørrebro,225,23,0.0,105.0,120.0,0.0,0.0,225146.0,14.78127724665392
2018.0,Valby,186,18,1.0,76.0,77.0,0.0,32.0,251798.0,14.041384790011351
2018.0,Vanløse,52,9,0.0,11.0,41.0,0.0,0.0,267566.0,14.321931589537224
2018.0,Vesterbro-Kongens Enghave,107,14,0.0,99.0,8.0,0.0,0.0,264961.0,14.757851769990374
2018.0,Østerbro,146,20,1.0,86.0,13.0,0.0,46.0,295369.0,15.052014027727704
2019.0,Amager Vest,68,7,0.0,45.0,21.0,2.0,0.0,271331.0,14.395022198748947
2019.0,Amager Øst,29,8,0.0,17.0,9.0,0.0,3.0,259083.0,14.284239693719991
2019.0,Bispebjerg,70,11,0.0,28.0,39.0,0.0,3.0,223526.0,14.092231692704212
2019.0,Brønshøj-Husum,66,14,0.0,34.0,28.0,0.0,4.0,251013.0,13.699692201388235
2019.0,Indre By,150,20,78.0,51.0,20.0,0.0,1.0,338008.0,15.243121037922338
2019.0,Nørrebro,185,24,0.0,116.0,69.0,0.0,0.0,232345.0,14.83560751245688
2019.0,Valby,101,19,0.0,30.0,31.0,1.0,39.0,257479.0,14.147562280299557
2019.0,Vanløse,64,7,0.0,9.0,55.0,0.0,0.0,274293.0,14.386547522339562
2019.0,Vesterbro-Kongens Enghave,154,19,0.0,123.0,23.0,4.0,4.0,273940.0,14.868184562311342
2019.0,Østerbro,811,48,2.0,597.0,74.0,0.0,138.0,304374.0,15.10713468453743
2020.0,Amager Vest,631,23,0.0,78.0,553.0,0.0,0.0,283319.0,14.45196091079146
2020.0,Amager Øst,149,15,0.0,129.0,20.0,0.0,0.0,272287.0,14.375493369531169
2020.0,Bispebjerg,120,14,0.0,31.0,83.0,0.0,6.0,235021.0,14.162201045047533
2020.0,Brønshøj-Husum,89,18,0.0,20.0,34.0,0.0,35.0,259405.0,13.759608654152084
2020.0,Indre By,68,14,3.0,55.0,10.0,0.0,0.0,351805.0,15.280456998507292
2020.0,Nørrebro,62,16,0.0,31.0,31.0,0.0,0.0,243874.0,14.883580791451823
2020.0,Valby,172,17,0.0,34.0,104.0,0.0,34.0,269905.0,14.208680431069025
2020.0,Vanløse,35,8,0.0,11.0,23.0,0.0,1.0,286314.0,14.4199844125479
2020.0,Vesterbro-Kongens Enghave,216,22,0.0,159.0,57.0,0.0,0.0,289859.0,14.914067734155166
2020.0,Østerbro,181,18,41.0,96.0,30.0,0.0,14.0,316826.0,15.141095423010057
